asset_id;intake_date;assessment_duration_hrs;refurb_start_date;refurb_completion_date;parts_cost;labor_hours;final_condition_score;refurb_success;certification_achieved
AST001215;14/1/2023;4.2;15/1/2023;16/1/2023;34.93;2.4;8.5;FALSE;
AST001217;29/5/2021;2.7;1/6/2021;1/6/2021;72.96;4.1;8.8;TRUE;R2
AST001218;22/10/2022;1.8;27/10/2022;27/10/2022;308.83;15.2;8.3;TRUE;ISO14001
AST001221;3/2/2021;3.4;5/2/2021;5/2/2021;53.4;3.7;7.2;TRUE;ISO14001
AST001222;18/3/2023;3.4;20/3/2023;20/3/2023;87.51;8.8;10;TRUE;e-Stewards
AST001223;20/1/2021;3.1;22/1/2021;22/1/2021;26.03;6.1;7.4;FALSE;
AST001225;7/6/2021;5.8;10/6/2021;10/6/2021;18.34;2.4;9;TRUE;R2
AST001226;2/6/2022;2.9;11/6/2022;12/6/2022;304.39;11.2;8.9;TRUE;e-Stewards
AST001227;15/8/2021;2.7;17/8/2021;17/8/2021;68.63;3.4;6.4;TRUE;R2
AST001228;12/6/2022;5.5;17/6/2022;17/6/2022;41.55;3.3;8.8;TRUE;ISO14001
AST001232;8/8/2022;1.7;12/8/2022;12/8/2022;43.89;3.3;7.3;FALSE;
AST001233;27/5/2022;3.3;1/6/2022;1/6/2022;61.81;4.9;6.7;TRUE;R2
AST001234;27/8/2021;2;28/8/2021;28/8/2021;62.74;5.5;7.1;TRUE;e-Stewards
AST001235;4/7/2023;2.1;8/7/2023;9/7/2023;56.84;4.4;10;TRUE;R2
AST001237;20/4/2022;1.9;23/4/2022;23/4/2022;26.15;1.8;10;TRUE;ISO14001
AST001238;14/5/2021;2.4;17/5/2021;17/5/2021;60.19;3.4;7.4;TRUE;R2
AST001239;23/3/2023;4.2;24/3/2023;24/3/2023;40.33;3;10;TRUE;e-Stewards
AST001240;7/6/2023;4.4;9/6/2023;9/6/2023;14.91;2.1;10;FALSE;
AST001245;30/5/2022;6.6;5/6/2022;5/6/2022;79.32;5.9;8.8;FALSE;
AST001246;27/1/2020;8;30/1/2020;30/1/2020;24.29;2.4;7.4;TRUE;R2
AST001248;5/5/2022;6.6;11/5/2022;11/5/2022;59.3;3.6;7.1;TRUE;None
AST001249;18/2/2023;4.1;20/2/2023;20/2/2023;41.12;1;7.5;TRUE;R2
AST001250;15/4/2023;6.2;17/4/2023;17/4/2023;24.42;2.4;8.5;TRUE;e-Stewards
AST001251;26/11/2022;2.6;28/11/2022;28/11/2022;26.8;2;8.9;FALSE;
AST001252;9/2/2020;7.4;11/2/2020;11/2/2020;27.84;5.6;8.1;TRUE;None
AST001253;14/9/2022;8;16/9/2022;16/9/2022;31.84;3.7;8.4;TRUE;ISO14001
AST001255;13/10/2022;2.8;17/10/2022;17/10/2022;37.43;1.5;9.9;TRUE;R2
AST001256;14/9/2023;4;17/9/2023;18/9/2023;219.68;14.2;9.5;FALSE;
AST001257;22/7/2021;7.5;24/7/2021;25/7/2021;71.61;7.4;7.6;FALSE;
AST001258;28/6/2022;1.5;30/6/2022;30/6/2022;222.22;8.5;9.2;TRUE;R2
AST001259;24/10/2021;3.4;26/10/2021;27/10/2021;80.89;14.4;7.8;TRUE;ISO14001
AST001260;25/1/2023;3.1;28/1/2023;28/1/2023;189.22;12.4;9.6;TRUE;e-Stewards
AST001261;27/3/2022;4;3/4/2022;4/4/2022;38.18;5.4;9.1;TRUE;e-Stewards
AST001264;1/7/2023;1.4;4/7/2023;5/7/2023;37.45;4.6;8.2;FALSE;
AST001266;21/1/2020;5.5;31/1/2020;1/2/2020;333.43;15.9;6.3;TRUE;ISO14001
AST001268;6/9/2023;3.9;9/9/2023;9/9/2023;36.47;4.3;10;TRUE;e-Stewards
AST001269;2/11/2020;2.4;3/11/2020;3/11/2020;138.66;6.2;9.6;TRUE;None
AST001271;22/6/2023;3.7;25/6/2023;25/6/2023;31.63;1;10;FALSE;
AST001272;21/5/2021;2.3;26/5/2021;26/5/2021;14.79;1;7.9;TRUE;R2
AST001273;24/11/2023;8;7/12/2023;7/12/2023;25.16;3.9;8.3;TRUE;R2
AST001274;19/6/2024;1.6;26/6/2024;26/6/2024;59.57;2.7;10;TRUE;R2
AST001275;20/8/2022;4.8;27/8/2022;27/8/2022;48.38;6.1;9.2;TRUE;None
AST001276;8/4/2021;2.9;9/4/2021;10/4/2021;40.8;8.2;5.4;FALSE;
AST001277;22/8/2021;4.7;23/8/2021;23/8/2021;37.06;3.8;8.6;FALSE;
AST001278;30/8/2021;2.4;7/9/2021;7/9/2021;24.76;1.1;10;TRUE;R2
AST001279;23/12/2020;4.6;27/12/2020;27/12/2020;28.22;1;10;TRUE;ISO14001
AST001281;25/5/2021;6;26/5/2021;26/5/2021;61.7;4.7;5.6;TRUE;e-Stewards
AST001282;27/3/2023;2.7;3/4/2023;3/4/2023;14.94;1.4;10;FALSE;
AST001283;10/12/2021;4.7;12/12/2021;12/12/2021;27;3.4;8.5;TRUE;ISO14001
AST001285;24/2/2020;3.5;28/2/2020;28/2/2020;64.88;4.9;5.5;TRUE;None
AST001286;19/7/2023;1.3;22/7/2023;22/7/2023;11.95;1;9.4;TRUE;ISO14001
AST001287;27/6/2021;2.4;2/7/2021;2/7/2021;63.17;5;7.5;TRUE;e-Stewards
AST001288;29/1/2023;3.7;31/1/2023;31/1/2023;33.34;4.6;8.9;FALSE;
AST001290;7/8/2023;4.7;11/8/2023;11/8/2023;31.48;2.2;10;TRUE;ISO14001
AST001291;29/6/2023;5.9;7/7/2023;7/7/2023;33.74;3.2;10;FALSE;
AST001292;21/6/2023;2;5/7/2023;5/7/2023;23.51;1.6;10;TRUE;R2
AST001293;14/7/2021;3.2;23/7/2021;24/7/2021;13.23;1;8.8;TRUE;None
AST001294;28/11/2023;5.4;2/12/2023;2/12/2023;22.13;3;9.7;TRUE;e-Stewards
AST001295;16/1/2023;2.4;20/1/2023;20/1/2023;24.53;1.2;10;FALSE;
AST001296;23/4/2021;4.1;27/4/2021;27/4/2021;50.73;5.8;5.6;FALSE;
AST001297;10/6/2022;2.6;13/6/2022;13/6/2022;33.84;3.8;7.9;FALSE;
AST001298;19/3/2020;1.8;20/3/2020;20/3/2020;16.81;2.7;6.6;TRUE;R2
AST001299;23/6/2023;2.5;29/6/2023;29/6/2023;228.78;6.2;9.9;TRUE;R2
AST001300;18/5/2021;2.1;22/5/2021;22/5/2021;59.1;2.8;7.9;TRUE;R2
AST001301;5/8/2024;3.3;12/8/2024;12/8/2024;133.72;9.2;10;FALSE;
AST001302;27/7/2020;5;1/8/2020;2/8/2020;47.4;3.6;6.4;TRUE;ISO14001
AST001303;22/8/2022;3.6;24/8/2022;24/8/2022;40.37;1;9.7;TRUE;ISO14001
AST001304;17/6/2023;4.7;19/6/2023;19/6/2023;21.14;1;9.5;TRUE;e-Stewards
AST001305;20/5/2021;7;25/5/2021;25/5/2021;13.78;2.1;9.2;TRUE;R2
AST001307;22/1/2022;3.6;24/1/2022;24/1/2022;50.43;2.1;7.8;FALSE;
AST001308;12/12/2020;2.3;13/12/2020;13/12/2020;48.77;4.9;7;TRUE;e-Stewards
AST001309;21/6/2022;1.2;23/6/2022;23/6/2022;68.37;4.7;9.3;TRUE;e-Stewards
AST001310;2/11/2022;1.3;10/11/2022;11/11/2022;25.07;1.6;10;TRUE;None
AST001311;23/2/2022;2.5;6/3/2022;6/3/2022;26.03;1;10;TRUE;e-Stewards
AST001312;28/5/2023;6.6;9/6/2023;9/6/2023;27.72;1;10;TRUE;R2
AST001313;10/11/2023;3.6;15/11/2023;16/11/2023;44.81;3.2;10;TRUE;ISO14001
AST001315;23/7/2022;5.7;1/8/2022;1/8/2022;30.2;3.3;10;TRUE;ISO14001
AST001316;28/1/2023;2.6;2/2/2023;2/2/2023;203.14;10.3;9.9;TRUE;R2
AST001319;17/8/2020;8;21/8/2020;22/8/2020;21.61;5.3;6.4;TRUE;R2
AST001321;8/10/2022;4.2;13/10/2022;13/10/2022;69.29;3.9;9.3;TRUE;e-Stewards
AST001323;11/8/2021;4.6;15/8/2021;15/8/2021;274.74;9.8;8.8;TRUE;ISO14001
AST001324;12/10/2022;4.9;19/10/2022;19/10/2022;18.15;3.6;9.4;TRUE;ISO14001
AST001325;8/7/2022;1.6;13/7/2022;13/7/2022;50.01;4.3;9.1;TRUE;R2
AST001327;9/5/2024;7.5;11/5/2024;12/5/2024;183.27;14.7;8.9;TRUE;e-Stewards
AST001329;7/2/2023;2.8;14/2/2023;14/2/2023;27.32;4.7;10;TRUE;ISO14001
AST001330;6/11/2023;3.6;10/11/2023;10/11/2023;42.27;3.1;10;TRUE;None
AST001331;30/8/2022;4.1;8/9/2022;9/9/2022;128.17;8.4;9.6;TRUE;None
AST001332;18/7/2021;2.8;24/7/2021;24/7/2021;35.35;5.6;8.1;TRUE;e-Stewards
AST001334;8/4/2023;4.4;13/4/2023;13/4/2023;12.64;2.9;9;TRUE;R2
AST001336;17/8/2021;4.8;20/8/2021;20/8/2021;32.35;4;8;TRUE;e-Stewards
AST001337;6/5/2022;5.4;20/5/2022;21/5/2022;69.62;3.3;6.8;TRUE;ISO14001
AST001338;25/5/2023;5.2;29/5/2023;29/5/2023;56.77;2.1;9.7;TRUE;R2
AST001339;2/5/2023;4.6;4/5/2023;4/5/2023;16.76;2.3;8.6;TRUE;ISO14001
AST001340;13/9/2023;3;18/9/2023;18/9/2023;19.24;3;8.2;TRUE;ISO14001
AST001343;24/2/2023;3.5;10/3/2023;10/3/2023;42.05;2;8.8;TRUE;R2
AST001344;16/4/2022;1.2;20/4/2022;20/4/2022;16.22;3.9;8.7;TRUE;ISO14001
AST001345;8/7/2020;3.1;11/7/2020;11/7/2020;51.06;4.8;7.1;TRUE;None
AST001346;24/7/2024;6.5;25/7/2024;25/7/2024;26.97;3.2;10;TRUE;e-Stewards
AST001348;12/5/2021;3.3;18/5/2021;19/5/2021;300.99;15.2;8.1;TRUE;e-Stewards
AST001351;6/3/2021;3.4;9/3/2021;10/3/2021;84.37;7.6;7.8;TRUE;R2
AST001352;9/11/2022;3.2;13/11/2022;13/11/2022;29.78;1;10;TRUE;e-Stewards
AST001354;3/9/2023;3.3;4/9/2023;5/9/2023;32.79;3.3;8.7;TRUE;R2
AST001355;3/6/2021;3.7;7/6/2021;7/6/2021;25.68;1.9;8.3;TRUE;R2
AST001356;8/7/2024;1.4;9/7/2024;9/7/2024;201.62;7.9;10;TRUE;R2
AST001357;29/6/2022;8;2/7/2022;2/7/2022;59.17;3.8;9.5;TRUE;R2
AST001358;2/12/2022;2.2;5/12/2022;6/12/2022;40.81;4.6;10;TRUE;R2
AST001359;16/9/2022;8;17/9/2022;17/9/2022;13.36;1.4;9.3;TRUE;ISO14001
AST001360;17/11/2021;6.2;20/11/2021;20/11/2021;256.41;9.2;9.2;TRUE;e-Stewards
AST001361;15/8/2021;1.8;16/8/2021;16/8/2021;145.39;9.4;9.2;TRUE;R2
AST001362;18/6/2021;3.8;19/6/2021;20/6/2021;31.6;3.7;7;TRUE;R2
AST001363;20/12/2021;2.9;22/12/2021;22/12/2021;164.73;11.2;9.6;TRUE;e-Stewards
AST001364;9/2/2023;5.6;19/2/2023;20/2/2023;60.66;3.2;9.5;TRUE;ISO14001
AST001366;30/4/2024;4.8;5/5/2024;5/5/2024;42.08;2.4;10;FALSE;
AST001367;24/1/2023;2;27/1/2023;27/1/2023;22.81;2.8;6;TRUE;R2
AST001368;21/3/2021;1.5;22/3/2021;23/3/2021;18.95;3.6;9.3;TRUE;ISO14001
AST001369;19/1/2023;5.4;21/1/2023;21/1/2023;44.71;6.6;8.8;TRUE;ISO14001
AST001370;21/3/2023;1.4;24/3/2023;24/3/2023;40.37;3.6;9.5;TRUE;e-Stewards
AST001372;10/12/2022;1.8;16/12/2022;16/12/2022;55.83;3.3;7.5;TRUE;R2
AST001373;27/5/2023;3;30/5/2023;30/5/2023;24.34;4.2;8.7;TRUE;e-Stewards
AST001374;24/8/2023;6.5;1/9/2023;1/9/2023;75.54;5.8;6.7;TRUE;ISO14001
AST001375;1/6/2023;2.6;2/6/2023;3/6/2023;47.73;5.5;9.1;TRUE;ISO14001
AST001376;9/9/2022;4.7;10/9/2022;10/9/2022;53.31;2.6;9.8;TRUE;e-Stewards
AST001377;9/3/2021;6.8;17/3/2021;17/3/2021;79.3;5.7;10;TRUE;e-Stewards
AST001378;14/7/2024;3.2;15/7/2024;15/7/2024;16.13;1;10;TRUE;R2
AST001379;9/6/2020;6.2;14/6/2020;15/6/2020;259.11;14.5;8.6;FALSE;
AST001380;7/4/2020;1.2;10/4/2020;10/4/2020;25;1.2;9.8;FALSE;
AST001381;1/8/2022;7.1;3/8/2022;4/8/2022;211.37;4.1;10;TRUE;R2
AST001382;20/10/2022;5.3;21/10/2022;21/10/2022;26.92;1.3;9;TRUE;ISO14001
AST001383;9/10/2020;8;14/10/2020;14/10/2020;281.83;12.6;8.4;TRUE;R2
AST001384;26/12/2021;4.6;6/1/2022;6/1/2022;32.17;3.3;7.4;TRUE;e-Stewards
AST001385;26/4/2023;7.4;30/4/2023;30/4/2023;31.98;2.6;10;TRUE;ISO14001
AST001386;21/5/2022;2;26/5/2022;26/5/2022;37.72;3.8;8.2;TRUE;e-Stewards
AST001387;29/7/2022;5.5;10/8/2022;10/8/2022;54.38;2.8;10;TRUE;e-Stewards
AST001388;27/10/2020;8;29/10/2020;29/10/2020;30.77;1.3;8.7;TRUE;R2
AST001389;27/4/2020;6.2;3/5/2020;3/5/2020;81.77;4.9;6.6;TRUE;R2
AST001390;21/3/2023;5.5;23/3/2023;23/3/2023;12.12;3.2;10;TRUE;R2
AST001391;22/4/2024;4.8;24/4/2024;24/4/2024;15.16;2;10;TRUE;ISO14001
AST001392;12/12/2023;6;13/12/2023;14/12/2023;35.71;1;10;FALSE;
AST001394;25/11/2021;3.3;27/11/2021;27/11/2021;13.68;1.5;9.7;TRUE;R2
AST001397;2/6/2023;3.1;8/6/2023;8/6/2023;33.31;1.9;9.5;FALSE;
AST001398;2/4/2022;1.8;4/4/2022;4/4/2022;48.33;2.3;7.1;TRUE;e-Stewards
AST001399;7/4/2024;1.8;9/4/2024;9/4/2024;26.62;3;10;TRUE;R2
AST001400;4/8/2024;6.1;5/8/2024;5/8/2024;37.97;1.1;10;TRUE;ISO14001
AST001401;14/10/2023;2;17/10/2023;17/10/2023;46.66;3.8;10;TRUE;None
AST001402;7/9/2022;3.7;9/9/2022;9/9/2022;25.2;1;9.3;TRUE;R2
AST001403;18/5/2020;1.9;25/5/2020;26/5/2020;53.66;6;6.7;TRUE;e-Stewards
AST001404;15/7/2021;4.6;17/7/2021;17/7/2021;38.58;1.7;7.9;TRUE;e-Stewards
AST001405;21/2/2023;1.6;24/2/2023;24/2/2023;22.64;6.5;7.5;TRUE;None
AST001406;18/1/2022;3.5;20/1/2022;20/1/2022;48.9;2.3;8.7;TRUE;R2
AST001407;7/7/2020;4.7;10/7/2020;11/7/2020;42.21;4.9;8.8;TRUE;None
AST001408;17/1/2022;6.8;19/1/2022;19/1/2022;46.97;3.7;9;TRUE;ISO14001
AST001409;5/11/2020;7.4;7/11/2020;8/11/2020;92.06;9.6;10;FALSE;
AST001410;23/2/2024;3.1;25/2/2024;25/2/2024;252.69;12.5;9.5;FALSE;
AST001411;17/5/2021;2.1;19/5/2021;19/5/2021;39.44;2.8;8.5;TRUE;ISO14001
AST001413;4/8/2023;1.9;10/8/2023;11/8/2023;43.92;1.3;10;TRUE;R2
AST001414;2/10/2022;4.7;4/10/2022;4/10/2022;179.6;7.6;10;FALSE;
AST001416;2/12/2022;2.1;4/12/2022;4/12/2022;14.32;3.7;9.2;TRUE;R2
AST001418;14/1/2023;5;27/1/2023;27/1/2023;32.97;2;10;TRUE;ISO14001
AST001420;6/1/2024;6;9/1/2024;9/1/2024;11.56;1.4;10;TRUE;None
AST001421;20/3/2021;3.5;24/3/2021;24/3/2021;73.08;4.7;8.1;FALSE;
AST001423;12/1/2022;1.2;14/1/2022;14/1/2022;33.53;2.8;8.9;TRUE;R2
AST001426;1/3/2023;3;4/3/2023;4/3/2023;230.78;7.4;10;TRUE;ISO14001
AST001427;8/3/2023;6;9/3/2023;9/3/2023;15.86;1;10;TRUE;R2
AST001428;23/6/2023;4.6;24/6/2023;24/6/2023;52.34;3;8;TRUE;R2
AST001429;24/2/2024;2.1;5/3/2024;5/3/2024;38.27;1.8;10;FALSE;
AST001430;10/6/2023;2.8;12/6/2023;12/6/2023;38.85;4.2;9.2;TRUE;e-Stewards
AST001431;25/7/2023;6.9;5/8/2023;5/8/2023;32.78;1.8;10;TRUE;e-Stewards
AST001433;6/7/2023;3.1;14/7/2023;14/7/2023;14.07;5.3;10;TRUE;R2
AST001434;15/6/2022;3;17/6/2022;17/6/2022;68.88;5.6;8.5;FALSE;
AST001436;18/8/2022;2;22/8/2022;22/8/2022;31.86;3.8;8.9;TRUE;ISO14001
AST001437;15/11/2022;2.1;27/11/2022;27/11/2022;45.25;1.9;9.2;TRUE;e-Stewards
AST001438;24/8/2023;2.9;26/8/2023;26/8/2023;64.36;3.2;8.9;TRUE;ISO14001
AST001439;16/10/2021;2.8;25/10/2021;25/10/2021;17.72;5.2;5.9;FALSE;
AST001440;17/4/2024;8;19/4/2024;19/4/2024;31.53;4.5;10;TRUE;R2
AST001441;9/4/2022;6;14/4/2022;14/4/2022;30.58;6.5;7.1;TRUE;ISO14001
AST001442;16/8/2020;3.1;17/8/2020;17/8/2020;54.2;3.3;5.7;TRUE;ISO14001
AST001443;17/9/2023;3.3;22/9/2023;22/9/2023;20.76;1;10;TRUE;R2
AST001444;20/1/2023;8;22/1/2023;22/1/2023;39.15;5.3;9.1;TRUE;R2
AST001446;9/6/2022;5.1;13/6/2022;13/6/2022;61.8;3.4;9.5;TRUE;R2
AST001447;10/2/2022;2.2;11/2/2022;11/2/2022;25.31;1;10;TRUE;R2
AST001449;17/5/2020;2.6;22/5/2020;22/5/2020;48.03;7.7;5.3;TRUE;e-Stewards
AST001451;18/3/2024;4.9;25/3/2024;25/3/2024;63.24;5.7;10;TRUE;None
AST001452;4/5/2022;5.2;8/5/2022;8/5/2022;15.44;1.6;9.1;TRUE;R2
AST001453;18/8/2021;8;20/8/2021;20/8/2021;40.37;2.6;6.7;TRUE;R2
AST001454;28/7/2020;2.1;5/8/2020;5/8/2020;138.32;13.1;9.2;TRUE;ISO14001
AST001456;16/6/2021;4.7;19/6/2021;20/6/2021;70.91;5.1;7.1;FALSE;
AST001457;30/9/2021;3.6;2/10/2021;2/10/2021;58.69;4.7;9.5;TRUE;R2
AST001459;19/11/2022;2.2;27/11/2022;28/11/2022;42.14;1.6;8.1;TRUE;R2
AST001460;13/6/2023;3.1;27/6/2023;27/6/2023;37;4.3;10;TRUE;R2
AST001461;14/4/2021;1.7;24/4/2021;24/4/2021;41.13;5.4;8.1;FALSE;
AST001462;29/10/2021;7.9;31/10/2021;31/10/2021;66.61;4.6;8.2;TRUE;ISO14001
AST001463;16/8/2021;1.2;21/8/2021;21/8/2021;66.12;4.8;8;TRUE;ISO14001
AST001464;18/8/2021;5.3;22/8/2021;22/8/2021;25.75;2.4;6.1;TRUE;ISO14001
AST001465;4/7/2021;2.3;6/7/2021;7/7/2021;45.69;3.9;6.7;TRUE;None
AST001466;28/6/2024;3.2;30/6/2024;30/6/2024;32.72;2.2;10;TRUE;ISO14001
AST001467;19/12/2022;2.3;22/12/2022;22/12/2022;35.57;3.1;10;TRUE;R2
AST001469;24/5/2022;2.1;28/5/2022;28/5/2022;73.32;6.7;6.5;TRUE;ISO14001
AST001471;18/7/2024;7.4;19/7/2024;19/7/2024;41.49;1;10;TRUE;R2
AST001472;16/10/2020;1.7;30/10/2020;30/10/2020;46.24;1.4;7.2;TRUE;R2
AST001473;27/1/2020;8;5/2/2020;5/2/2020;34.27;5.4;7.5;TRUE;R2
AST001474;20/10/2020;2.8;26/10/2020;26/10/2020;47.26;3.8;8.2;TRUE;e-Stewards
AST001475;11/1/2020;7.5;13/1/2020;14/1/2020;43.4;4.5;6.1;TRUE;R2
AST001476;3/2/2021;1.6;6/2/2021;6/2/2021;75.39;5.9;6.9;TRUE;R2
AST001477;1/6/2022;2.6;14/6/2022;15/6/2022;38.92;4.2;9;TRUE;R2
AST001478;24/1/2023;2.5;26/1/2023;26/1/2023;115.48;7.6;8.9;TRUE;ISO14001
AST001481;1/3/2023;8;4/3/2023;4/3/2023;20.94;3.8;7.9;TRUE;e-Stewards
AST001482;5/2/2024;3.6;10/2/2024;10/2/2024;149.78;8.4;10;TRUE;R2
AST001483;24/2/2020;1.6;27/2/2020;27/2/2020;90.46;5.2;6.5;TRUE;R2
AST001484;28/3/2023;3.2;3/4/2023;3/4/2023;65.16;5.1;8.1;TRUE;R2
AST001485;18/10/2022;2.3;22/10/2022;22/10/2022;21.52;1.3;10;TRUE;ISO14001
AST001486;13/7/2024;3.5;15/7/2024;15/7/2024;20.04;3.4;7.9;TRUE;R2
AST001487;28/10/2022;3.8;29/10/2022;29/10/2022;50.33;2.6;9.7;TRUE;R2
AST001488;30/9/2024;2.9;5/10/2024;5/10/2024;60.29;1.8;9.1;TRUE;R2
AST001490;14/9/2020;4;17/9/2020;17/9/2020;13.78;1.8;8.9;TRUE;e-Stewards
AST001491;7/12/2020;2.1;10/12/2020;10/12/2020;79.06;7;6.1;TRUE;ISO14001
AST001492;3/12/2022;1.4;13/12/2022;13/12/2022;25.8;2.7;10;TRUE;None
AST001493;3/7/2021;4.1;8/7/2021;8/7/2021;36.72;3.4;8.9;TRUE;R2
AST001494;22/7/2022;2.7;29/7/2022;29/7/2022;74.59;5.9;8.4;TRUE;e-Stewards
AST001495;7/4/2020;3.9;12/4/2020;12/4/2020;43.96;1;8.4;TRUE;R2
AST001497;16/1/2021;1.4;23/1/2021;23/1/2021;29.93;5.3;8.1;TRUE;e-Stewards
AST001498;19/7/2023;5.9;21/7/2023;21/7/2023;34.67;5.8;9;TRUE;ISO14001
AST001500;14/9/2024;3.4;18/9/2024;18/9/2024;19.53;1.1;9.9;TRUE;R2
AST001501;29/7/2024;1.7;31/7/2024;31/7/2024;56.28;1.9;10;TRUE;R2
AST001502;9/10/2023;1.6;18/10/2023;18/10/2023;227.57;6.9;9.6;FALSE;
AST001503;4/12/2021;8;12/12/2021;12/12/2021;18.69;1;10;TRUE;ISO14001
AST001505;25/1/2020;5;29/1/2020;29/1/2020;62.69;9.1;6.6;TRUE;e-Stewards
AST001506;18/9/2022;5.2;23/9/2022;23/9/2022;48.79;3.8;10;TRUE;e-Stewards
AST001507;8/10/2020;2.2;12/10/2020;12/10/2020;25.55;4.7;6.2;FALSE;
AST001508;7/2/2022;3.7;13/2/2022;13/2/2022;66.16;4;6.9;FALSE;
AST001509;26/6/2022;2.9;2/7/2022;2/7/2022;62.23;3.7;9.6;TRUE;R2
AST001510;12/7/2022;2.9;17/7/2022;17/7/2022;46.5;1.4;8.7;TRUE;e-Stewards
AST001511;8/7/2022;3.5;18/7/2022;18/7/2022;17.67;1;9.6;TRUE;e-Stewards
AST001512;22/8/2023;5.8;25/8/2023;26/8/2023;25.25;2.5;9.2;TRUE;e-Stewards
AST001513;13/2/2023;2.5;15/2/2023;15/2/2023;69.03;2.8;8.7;TRUE;e-Stewards
AST001514;24/9/2020;4.3;26/9/2020;26/9/2020;32.97;4.1;8.2;FALSE;
AST001515;26/11/2023;3.5;28/11/2023;28/11/2023;29.23;4;10;FALSE;
AST001516;23/12/2023;2;28/12/2023;28/12/2023;23.73;1;10;TRUE;e-Stewards
AST001517;26/4/2024;2;3/5/2024;3/5/2024;21.38;3.2;10;TRUE;ISO14001
AST001518;22/3/2020;6.4;27/3/2020;28/3/2020;231.97;13.7;7.4;TRUE;None
AST001520;26/8/2024;8;2/9/2024;2/9/2024;74.19;8.3;10;TRUE;e-Stewards
AST001521;9/11/2023;7.4;17/11/2023;17/11/2023;41.12;3.1;9.5;FALSE;
AST001522;14/2/2023;3.2;17/2/2023;17/2/2023;154.47;8.5;9.8;FALSE;
AST001524;26/8/2022;1.5;27/8/2022;28/8/2022;44.8;3.9;7.9;TRUE;ISO14001
AST001525;6/3/2024;1.5;20/3/2024;20/3/2024;23.79;1.4;10;FALSE;
AST001526;6/6/2024;2.3;7/6/2024;7/6/2024;33.92;1;10;TRUE;ISO14001
AST001527;23/3/2024;3.5;25/3/2024;25/3/2024;17.57;3.9;9.3;TRUE;ISO14001
AST001528;5/7/2024;2.5;11/7/2024;11/7/2024;29.87;1;10;TRUE;e-Stewards
AST001529;13/6/2024;3.5;23/6/2024;23/6/2024;13.98;1.1;10;FALSE;
AST001530;30/4/2021;7.2;4/5/2021;5/5/2021;50.59;4.6;8.5;TRUE;ISO14001
AST001531;15/7/2024;7.3;16/7/2024;16/7/2024;60.09;3.3;10;TRUE;e-Stewards
AST001532;16/7/2021;2;20/7/2021;20/7/2021;18.64;4.1;8.9;TRUE;e-Stewards
AST001533;23/10/2023;2.1;25/10/2023;25/10/2023;18.52;2.7;10;TRUE;R2
AST001535;22/7/2024;3.4;27/7/2024;27/7/2024;35.62;2.3;10;TRUE;e-Stewards
AST001536;10/12/2023;7.3;20/12/2023;20/12/2023;32.13;1;10;FALSE;
AST001537;10/6/2022;7;15/6/2022;15/6/2022;73.08;4.3;9;TRUE;e-Stewards
AST001539;11/8/2021;3.1;13/8/2021;14/8/2021;25.86;4;7.9;TRUE;R2
AST001541;30/5/2024;4.3;6/6/2024;6/6/2024;13.79;2.8;10;TRUE;None
AST001542;1/10/2023;3.5;2/10/2023;2/10/2023;188.6;6.4;10;TRUE;e-Stewards
AST001543;24/11/2023;7.1;26/11/2023;26/11/2023;14.32;2;10;TRUE;R2
AST001544;25/7/2024;3.2;30/7/2024;30/7/2024;49.73;2.5;10;TRUE;R2
AST001545;22/4/2023;6.2;23/4/2023;23/4/2023;51.58;2.1;8.3;TRUE;e-Stewards
AST001546;3/8/2020;2.8;15/8/2020;15/8/2020;57.22;4.2;6.4;TRUE;e-Stewards
AST001547;7/5/2022;2.8;8/5/2022;8/5/2022;51.77;4.3;8.4;FALSE;
AST001548;17/7/2021;6.9;18/7/2021;18/7/2021;35.19;4.1;6.6;TRUE;R2
AST001549;20/6/2024;3.1;21/6/2024;21/6/2024;22.9;2.6;9.9;TRUE;e-Stewards
AST001550;31/5/2022;6.2;3/6/2022;3/6/2022;161.79;8;9;TRUE;e-Stewards
AST001551;23/6/2022;2.6;26/6/2022;26/6/2022;38.59;1;9.6;TRUE;ISO14001
AST001553;1/5/2024;1.5;8/5/2024;8/5/2024;39.48;2.6;10;TRUE;R2
AST001555;5/8/2022;7.6;12/8/2022;12/8/2022;34.81;2.4;10;TRUE;R2
AST001556;15/7/2021;5.8;19/7/2021;19/7/2021;56.36;4.6;8;TRUE;e-Stewards
AST001557;22/6/2021;3.9;24/6/2021;24/6/2021;43.26;1.6;9;TRUE;R2
AST001558;4/2/2020;1.4;7/2/2020;7/2/2020;63.85;4.9;6.3;TRUE;ISO14001
AST001559;18/2/2020;4.6;25/2/2020;25/2/2020;26.84;5.5;5.5;FALSE;
AST001560;8/1/2023;1.9;12/1/2023;12/1/2023;21.39;3.6;9.2;TRUE;e-Stewards
AST001561;23/7/2021;4.1;6/8/2021;6/8/2021;57.5;4.4;7.7;TRUE;e-Stewards
AST001562;6/9/2022;2.1;8/9/2022;8/9/2022;44.33;2.1;9.5;TRUE;R2
AST001563;24/11/2020;5.7;29/11/2020;30/11/2020;42.08;4.4;8.5;TRUE;R2
AST001564;16/8/2024;5.1;19/8/2024;19/8/2024;19.7;1.2;10;FALSE;
AST001565;26/1/2022;1.4;30/1/2022;30/1/2022;70.46;4.6;9.8;TRUE;R2
